State,Stateabbr,Metro,MetroSize,Numberinhousehold,Poverty,Disability,Lunch,FoodStamps,IncomeScale,Unemployment,Welfare,WIC,SocialSec,SupSocialSec,TotalIncome,Minor,Vet
1,AL,0,0,2,0,0,0,0,17,0,0,0,1,0,40044,0,0
1,AL,0,0,2,0,0,0,0,14,0,0,0,1,0,33456,0,0
1,AL,0,0,2,0,0,0,0,37,1,0,0,1,0,90981,0,0
1,AL,0,0,2,0,0,0,0,29,0,0,0,0,0,70154,0,0
1,AL,0,0,2,0,0,0,0,10,0,0,0,0,0,23803,0,0
1,AL,0,0,2,1,0,0,0,1,0,0,0,0,0,1945,0,0
1,AL,0,0,2,0,0,0,0,8,0,0,0,1,0,18486,0,0
1,AL,0,0,2,0,0,0,0,41,0,0,0,0,0,120103,0,0
1,AL,0,0,2,0,0,0,0,12,0,0,0,1,0,28660,0,0
1,AL,0,0,2,1,0,0,1,4,0,0,0,0,1,8028,0,0
1,AL,0,0,2,0,0,0,0,41,0,0,0,0,0,211930,0,0
1,AL,0,0,2,0,0,0,0,41,0,0,0,1,0,132604,0,0
1,AL,0,0,2,0,0,0,0,31,0,0,0,1,0,76789,0,0
1,AL,0,0,2,0,0,0,0,37,0,0,0,1,0,91028,0,0
1,AL,0,0,2,0,1,0,0,41,0,1,0,0,0,121801,0,0
1,AL,0,0,2,1,0,0,0,6,0,0,0,1,0,14772,0,0
1,AL,0,0,2,0,0,0,0,20,0,0,0,1,0,47600,0,0
1,AL,0,0,2,0,0,0,0,32,1,0,0,1,0,77737,0,0
1,AL,0,0,2,0,0,0,0,41,0,0,0,0,0,191005,0,0
1,AL,0,0,2,0,0,0,1,10,0,0,0,1,1,24972,0,0
1,AL,0,0,2,0,0,0,1,17,1,0,0,0,0,41402,0,0
1,AL,0,0,2,0,0,0,0,25,0,0,0,0,0,62102,0,0
1,AL,0,0,2,0,0,0,1,12,0,0,0,0,0,29820,0,0
1,AL,0,0,2,1,0,0,0,7,0,0,0,1,0,16560,0,0
1,AL,0,0,2,0,0,0,0,41,0,0,0,0,0,156806,0,0
1,AL,0,0,2,1,0,1,1,3,0,0,0,0,0,6000,1,0
1,AL,0,0,2,0,0,0,0,10,0,0,0,1,0,22932,0,0
1,AL,0,0,2,0,0,0,1,10,1,0,0,0,1,24928,0,0
1,AL,0,0,2,0,0,0,0,30,0,0,0,1,0,74731,0,1
1,AL,0,0,2,0,0,0,1,8,0,0,0,1,0,19968,0,0
1,AL,0,0,2,0,0,0,0,23,0,0,0,1,0,56968,0,0
1,AL,0,0,2,0,0,0,0,41,0,0,0,1,0,102060,0,1
1,AL,0,0,2,1,0,0,1,6,0,0,0,1,0,13296,0,0
1,AL,0,0,2,0,0,0,0,8,0,0,0,1,0,18528,0,0
1,AL,0,0,2,0,0,0,0,21,0,0,0,0,0,50151,0,0
1,AL,0,0,2,0,0,0,0,41,0,0,0,0,0,167400,0,1
1,AL,0,0,2,0,0,0,0,41,0,0,0,0,0,109553,0,0
1,AL,0,0,2,0,0,0,0,38,0,0,0,1,0,93456,0,0
1,AL,0,0,2,0,0,0,0,34,0,0,0,0,0,83523,0,0
1,AL,0,0,2,0,0,0,0,17,0,0,0,1,0,40630,0,1
